2024-08-12 12:07:40 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435660832, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281138829, 'o': '2543.34', 'c': '2542.53', 'h': '2543.35', 'l': '2541.93', 'v': '197.968', 'n': 703, 'x': False, 'q': '503333.19727', 'V': '82.782', 'Q': '210462.28815', 'B': '0'}}
2024-08-12 12:07:41 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435661362, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281161071, 'o': '2543.34', 'c': '2542.36', 'h': '2543.35', 'l': '2541.93', 'v': '198.568', 'n': 709, 'x': False, 'q': '504858.71391', 'V': '82.782', 'Q': '210462.28815', 'B': '0'}}
2024-08-12 12:07:42 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435662564, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281218698, 'o': '2543.34', 'c': '2542.36', 'h': '2543.35', 'l': '2541.93', 'v': '198.619', 'n': 711, 'x': False, 'q': '504988.37427', 'V': '82.782', 'Q': '210462.28815', 'B': '0'}}
2024-08-12 12:07:43 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435663718, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281324426, 'o': '2543.34', 'c': '2542.75', 'h': '2543.35', 'l': '2541.93', 'v': '201.539', 'n': 739, 'x': False, 'q': '512412.86242', 'V': '84.669', 'Q': '215260.12588', 'B': '0'}}
2024-08-12 12:07:44 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435664043, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281346950, 'o': '2543.34', 'c': '2542.75', 'h': '2543.35', 'l': '2541.93', 'v': '202.280', 'n': 745, 'x': False, 'q': '514297.04017', 'V': '85.410', 'Q': '217144.30363', 'B': '0'}}
2024-08-12 12:07:44 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435664730, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281443117, 'o': '2543.34', 'c': '2543.00', 'h': '2543.35', 'l': '2541.93', 'v': '207.714', 'n': 773, 'x': False, 'q': '528115.26988', 'V': '90.844', 'Q': '230962.53334', 'B': '0'}}
2024-08-12 12:07:45 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435665085, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281455813, 'o': '2543.34', 'c': '2543.00', 'h': '2543.35', 'l': '2541.93', 'v': '207.835', 'n': 780, 'x': False, 'q': '528422.97176', 'V': '90.853', 'Q': '230985.42034', 'B': '0'}}
2024-08-12 12:07:45 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435665424, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281474484, 'o': '2543.34', 'c': '2542.78', 'h': '2543.35', 'l': '2541.93', 'v': '213.440', 'n': 794, 'x': False, 'q': '542676.38735', 'V': '90.853', 'Q': '230985.42034', 'B': '0'}}
2024-08-12 12:07:45 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435665733, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281483559, 'o': '2543.34', 'c': '2542.79', 'h': '2543.35', 'l': '2541.93', 'v': '213.776', 'n': 799, 'x': False, 'q': '543530.76359', 'V': '91.069', 'Q': '231534.66298', 'B': '0'}}
2024-08-12 12:07:47 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435667564, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281529142, 'o': '2543.34', 'c': '2542.79', 'h': '2543.35', 'l': '2541.93', 'v': '213.785', 'n': 800, 'x': False, 'q': '543553.64870', 'V': '91.078', 'Q': '231557.54809', 'B': '0'}}
2024-08-12 12:07:48 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435668390, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281546595, 'o': '2543.34', 'c': '2542.79', 'h': '2543.35', 'l': '2541.93', 'v': '216.847', 'n': 803, 'x': False, 'q': '551339.67168', 'V': '94.140', 'Q': '239343.57107', 'B': '0'}}
2024-08-12 12:07:49 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435669268, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281574480, 'o': '2543.34', 'c': '2542.78', 'h': '2543.35', 'l': '2541.93', 'v': '216.866', 'n': 805, 'x': False, 'q': '551387.98450', 'V': '94.140', 'Q': '239343.57107', 'B': '0'}}
2024-08-12 12:07:49 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435669546, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281585200, 'o': '2543.34', 'c': '2542.79', 'h': '2543.35', 'l': '2541.93', 'v': '217.364', 'n': 806, 'x': False, 'q': '552654.29392', 'V': '94.638', 'Q': '240609.88049', 'B': '0'}}
2024-08-12 12:07:49 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435669934, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281613398, 'o': '2543.34', 'c': '2542.79', 'h': '2543.35', 'l': '2541.93', 'v': '222.311', 'n': 809, 'x': False, 'q': '565233.44792', 'V': '96.772', 'Q': '246036.19435', 'B': '0'}}
2024-08-12 12:07:50 Market_Rest_WebSocket.py [line:431] INFO: 连续合约K线数据: {'e': 'continuous_kline', 'E': 1723435670472, 'ps': 'ETHUSDT', 'ct': 'PERPETUAL', 'k': {'t': 1723435620000, 'T': 1723435679999, 'i': '1m', 'f': 5141278997354, 'L': 5141281657715, 'o': '2543.34', 'c': '2542.99', 'h': '2543.35', 'l': '2541.93', 'v': '227.738', 'n': 826, 'x': False, 'q': '579033.23905', 'V': '101.850', 'Q': '258948.48197', 'B': '0'}}
